Date,Open
"May 08, 2020","2,372.14"
"May 07, 2020","2,372.81"
"May 06, 2020","2,328.72"
"May 05, 2020","2,342.93"
"May 04, 2020","2,258.09"
"May 01, 2020","2,331.20"
"Apr 30, 2020","2,420.00"
"Apr 29, 2020","2,327.19"
"Apr 28, 2020","2,372.10"
"Apr 27, 2020","2,444.11"
"Apr 24, 2020","2,417.00"
"Apr 23, 2020","2,399.38"
"Apr 22, 2020","2,372.39"
"Apr 21, 2020","2,415.00"
"Apr 20, 2020","2,389.95"
"Apr 17, 2020","2,373.70"
"Apr 16, 2020","2,346.57"
"Apr 15, 2020","2,256.44"
"Apr 14, 2020","2,202.72"
"Apr 13, 2020","2,041.00"
"Apr 09, 2020","2,045.43"
"Apr 08, 2020","2,021.00"
"Apr 07, 2020","2,017.00"
"Apr 06, 2020","1,940.56"
"Apr 03, 2020","1,911.99"
"Apr 02, 2020","1,901.06"
"Apr 01, 2020","1,934.88"
"Mar 31, 2020","1,963.00"
"Mar 30, 2020","1,922.83"
"Mar 27, 2020","1,929.99"
"Mar 26, 2020","1,903.00"
"Mar 25, 2020","1,923.24"
"Mar 24, 2020","1,941.19"
"Mar 23, 2020","1,827.75"
"Mar 20, 2020","1,926.31"
"Mar 19, 2020","1,856.67"
"Mar 18, 2020","1,746.09"
"Mar 17, 2020","1,775.47"
"Mar 16, 2020","1,641.51"
"Mar 13, 2020","1,755.00"
"Mar 12, 2020","1,721.98"
"Mar 11, 2020","1,857.85"
"Mar 10, 2020","1,870.88"
"Mar 09, 2020","1,773.86"
"Mar 06, 2020","1,875.00"
"Mar 05, 2020","1,933.00"
"Mar 04, 2020","1,946.57"
"Mar 03, 2020","1,975.37"
"Mar 02, 2020","1,906.49"
"Feb 28, 2020","1,814.63"
"Feb 27, 2020","1,934.38"
"Feb 26, 2020","1,970.28"
"Feb 25, 2020","2,026.42"
"Feb 24, 2020","2,003.18"
"Feb 21, 2020","2,142.15"
"Feb 20, 2020","2,173.07"
"Feb 19, 2020","2,167.80"
"Feb 18, 2020","2,125.02"
"Feb 14, 2020","2,155.68"
"Feb 13, 2020","2,144.99"
"Feb 12, 2020","2,163.20"
"Feb 11, 2020","2,150.90"
"Feb 10, 2020","2,085.01"
"Feb 07, 2020","2,041.99"
"Feb 06, 2020","2,041.02"
"Feb 05, 2020","2,071.02"
"Feb 04, 2020","2,029.88"
"Feb 03, 2020","2,010.60"
"Jan 31, 2020","2,051.47"
"Jan 30, 2020","1,858.00"
"Jan 29, 2020","1,864.00"
"Jan 28, 2020","1,840.50"
"Jan 27, 2020","1,820.00"
"Jan 24, 2020","1,891.37"
"Jan 23, 2020","1,885.11"
"Jan 22, 2020","1,896.09"
"Jan 21, 2020","1,865.00"
"Jan 17, 2020","1,885.89"
"Jan 16, 2020","1,882.99"
"Jan 15, 2020","1,872.25"
"Jan 14, 2020","1,885.88"
"Jan 13, 2020","1,891.31"
"Jan 10, 2020","1,905.37"
"Jan 09, 2020","1,909.89"
