"Date","Price","Open","High","Low","Vol.","Change %"
"May 08, 2020","1,384.34","1,381.82","1,396.64","1,372.01","1.67M","1.10%"
"May 07, 2020","1,369.28","1,362.57","1,375.50","1,353.65","1.54M","1.77%"
"May 06, 2020","1,345.43","1,356.14","1,368.67","1,345.36","1.59M","-0.27%"
"May 05, 2020","1,349.02","1,336.36","1,370.76","1,335.51","1.98M","1.97%"
"May 04, 2020","1,322.90","1,308.13","1,324.04","1,296.10","1.54M","0.42%"
"May 01, 2020","1,317.32","1,323.85","1,351.23","1,309.68","2.44M","-2.18%"
"Apr 30, 2020","1,346.70","1,329.18","1,349.99","1,321.51","2.79M","0.34%"
"Apr 29, 2020","1,342.18","1,343.48","1,359.98","1,327.16","5.42M","8.89%"
"Apr 28, 2020","1,232.59","1,283.20","1,283.63","1,230.38","4.04M","-3.01%"
"Apr 27, 2020","1,270.86","1,291.36","1,291.36","1,265.13","2.21M","-0.45%"
"Apr 24, 2020","1,276.60","1,255.00","1,277.71","1,244.00","1.87M","0.43%"
"Apr 23, 2020","1,271.17","1,266.24","1,287.26","1,261.83","1.71M","1.01%"
"Apr 22, 2020","1,258.41","1,240.96","1,279.88","1,237.20","2.32M","3.82%"
"Apr 21, 2020","1,212.16","1,244.49","1,249.48","1,205.16","2.48M","-3.88%"
"Apr 20, 2020","1,261.15","1,268.94","1,276.09","1,257.47","1.76M","-1.40%"
"Apr 17, 2020","1,279.00","1,280.27","1,289.48","1,266.00","2.55M","1.72%"
"Apr 16, 2020","1,257.43","1,268.61","1,272.71","1,238.24","2.89M","0.01%"
"Apr 15, 2020","1,257.30","1,243.19","1,275.00","1,234.88","2.11M","-0.63%"
"Apr 14, 2020","1,265.23","1,239.99","1,275.15","1,230.00","3.17M","4.53%"
"Apr 13, 2020","1,210.41","1,200.00","1,214.30","1,183.60","1.94M","0.32%"
"Apr 09, 2020","1,206.57","1,219.25","1,221.47","1,192.94","2.70M","-0.04%"
"Apr 08, 2020","1,207.00","1,204.79","1,214.67","1,184.47","2.02M","2.07%"
"Apr 07, 2020","1,182.56","1,217.01","1,220.60","1,177.56","3.08M","-0.05%"
"Apr 06, 2020","1,183.19","1,133.29","1,190.01","1,126.24","3.17M","8.28%"
"Apr 03, 2020","1,092.70","1,115.85","1,118.52","1,075.54","2.57M","-2.18%"
"Apr 02, 2020","1,117.03","1,098.10","1,122.77","1,093.38","2.82M","1.35%"
"Apr 01, 2020","1,102.10","1,122.47","1,129.03","1,093.49","2.60M","-5.15%"
"Mar 31, 2020","1,161.95","1,147.19","1,173.10","1,137.54","3.26M","1.36%"
"Mar 30, 2020","1,146.31","1,132.64","1,151.00","1,098.49","2.94M","3.25%"
"Mar 27, 2020","1,110.26","1,125.60","1,151.00","1,104.83","3.14M","-4.53%"
"Mar 26, 2020","1,162.92","1,111.60","1,170.98","1,093.15","3.83M","5.56%"
"Mar 25, 2020","1,101.62","1,121.08","1,146.00","1,083.46","4.52M","-2.51%"
"Mar 24, 2020","1,130.01","1,102.73","1,130.01","1,088.13","3.62M","7.20%"
"Mar 23, 2020","1,054.13","1,056.37","1,066.91","1,008.87","4.18M","-1.32%"
"Mar 20, 2020","1,068.21","1,130.90","1,138.48","1,062.10","4.14M","-3.91%"
"Mar 19, 2020","1,111.67","1,089.61","1,152.15","1,057.28","3.70M","1.88%"
"Mar 18, 2020","1,091.19","1,053.01","1,103.92","1,037.06","4.65M","-2.40%"
"Mar 17, 2020","1,118.06","1,090.64","1,126.00","1,049.10","4.16M","4.20%"
"Mar 16, 2020","1,073.00","1,089.61","1,145.47","1,067.08","4.83M","-11.63%"
"Mar 13, 2020","1,214.27","1,174.99","1,214.40","1,112.29","3.97M","9.24%"
"Mar 12, 2020","1,111.55","1,122.62","1,188.75","1,108.47","4.72M","-8.20%"
"Mar 11, 2020","1,210.90","1,248.27","1,256.93","1,191.14","2.74M","-5.04%"
"Mar 10, 2020","1,275.17","1,254.39","1,275.85","1,214.51","2.74M","4.88%"
"Mar 09, 2020","1,215.79","1,204.96","1,252.73","1,198.04","3.46M","-6.17%"
"Mar 06, 2020","1,295.74","1,269.95","1,302.75","1,257.21","3.23M","-1.45%"
"Mar 05, 2020","1,314.76","1,345.55","1,353.63","1,301.64","2.72M","-4.84%"
"Mar 04, 2020","1,381.60","1,358.96","1,382.78","1,337.00","2.38M","3.28%"
"Mar 03, 2020","1,337.72","1,397.68","1,408.19","1,329.24","2.83M","-3.51%"
"Mar 02, 2020","1,386.32","1,351.39","1,387.47","1,325.20","2.77M","3.51%"
"Feb 28, 2020","1,339.25","1,274.31","1,342.45","1,268.21","4.01M","1.85%"
"Feb 27, 2020","1,314.95","1,359.14","1,369.40","1,314.24","3.11M","-5.43%"
"Feb 26, 2020","1,390.47","1,394.98","1,413.67","1,376.55","2.49M","0.30%"
